Address,Telephone,Email,ADDRESS_M,POSTCODE_M,UPRN,X_COORDINATE,Y_COORDINATE,MATCH,MATCH_DESCRIPTION
"Cambusnethan Nursery Class, 53 Branchal Road Cambusnethan Wishaw ML2 8PD",01698 522717,enquiries-at-cambusnethan@northlan.org.uk,"CAMBUSNETHAN PRIMARY SCHOOL, 53, BRANCHAL ROAD, WISHAW, ML2 8PD",ML2 8PD,118168134,280969.0,655892.0,0.7,MATCHED
"Craigneuk Family Learning Centre, 641 Glasgow Road Craigneuk  Wishaw ML2 7SR",01698 522709,craigneukflc@northlan.org.uk,"CRAIGNEUK FAMILY LEARNING CENTRE, 641, GLASGOW ROAD, WISHAW, ML2 7SR",ML2 7SR,118173491,277896.0,655464.0,0.9,MATCHED
"Innerleithen Family Learning Centre, Innerleithen Drive Wishaw ML2 8",01698 522749,innerleithenflc@northlan.org.uk ,"68, INNERLEITHEN DRIVE, WISHAW, ML2 8SB",ML2 8SB,118169981,280496.0,656842.0,0.5,REVIEW REQUIRED
"Netherton Family Learning Centre, 1 Carbarns Wishaw ML1 0FQ",01698 522747,nethertonflc@northlan.org.uk ,"WISHAW FAMILY LEARNING CENTRE, GREENSIDE ROAD, WISHAW, ML2 8DF",ML2 8DF,118042667,280131.0,654751.0,0.5,REVIEW REQUIRED
"Orchard Nursery Class, Clyde Valley Campus Castlehill Road Wishaw ML2 0LS",01698 274984,enquiries-at-orchard@northlan.org.uk ,"ORCHARD P S, CLYDE VALLEY CAMPUS, CASTLEHILL ROAD, WISHAW, ML2 0LB",ML2 0LB,118188937,279800.6,653229.12,0.7,MATCHED
"St Aidan's Nursery Class, Coltness Road Wishaw ML2 7EY",01698 522702,enquiries-at-st-aidans-pri@northlan.org.uk ,"ST. MARKS MANSE, COLTNESS ROAD, WISHAW, ML2 7EY",ML2 7EY,118045631,280033.0,656608.0,0.6,MATCHED
"St Ignatius Nursery Class, Lochpark Wishaw ML2 7EB",01698 522736,enquiries-at-st-ignatius@northlan.org.uk ,"ST. IGNATIUS PRIMARY SCHOOL, LOCH PARK, WISHAW, ML2 7EB",ML2 7EB,118172989,280127.0,655248.0,0.7,MATCHED
"St Mary's Nursery Class, Chapel Street Cleland Motherwell ML1 5QX",01698 274955,enquiries-at-st-marys-cleland@northlan.org.uk ,"1, CHAPEL STREET, CLELAND, MOTHERWELL, ML1 5QX",ML1 5QX,118095240,279824.0,657997.0,0.6,MATCHED
"St Thomas Primary School Nursery Class, Caledonian Road Wishaw ML2 0HY",01698 274960,enquiries-at-st-thomas@northlan.org.uk ,"ST. THOMAS RC PRIMARY SCHOOL, CALEDONIAN ROAD, WISHAW, ML2 0HY",ML2 0HY,118091644,279022.0,654543.0,0.7,MATCHED
"Wishaw Family Learning Centre, Greenside Road Greenhead Wishaw ML2 8DF",01698 522708,wishawflc@northlan.org.uk ,"WISHAW FAMILY LEARNING CENTRE, GREENSIDE ROAD, WISHAW, ML2 8DF",ML2 8DF,118042667,280131.0,654751.0,0.8,MATCHED
"St Margaret of Scotland Nursery Class, Broomlands Road South Carbrain Cumbernauld G67 4PT",01236 632102,enquiries-at-st-margaret-scotland@northlan.org.uk ,"ST. MARGARETS OF SCOTLAND, BROOMLANDS ROAD, CUMBERNAULD, GLASGOW, G67 2PT",G67 2PT,118030645,276008.0,673929.0,0.6,MATCHED
"St Mary's Nursery Class, Liddell Road Seafar Cumbernauld G67 1JB",01236 794828,enquiries-at-st-marys-cumbernauld@northlan.org.uk ,"ST. MARY'S PRIMARY SCHOOL, 29, LIDDEL ROAD, CUMBERNAULD, GLASGOW, G67 1JB",G67 1JB,118180254,275307.0,674338.0,0.6,MATCHED
"Woodlands Nursery Class, Woodlands Primary School Melrose Road Cumbernauld G67 4BA",01236 632074,enquiries-at-woodlands@northlan.org.uk ,"WOODLANDS PRIMARY SCHOOL, MELROSE ROAD, CUMBERNAULD, GLASGOW, G67 4BA",G67 4BA,118026797,275473.0,673327.0,0.7,MATCHED
